CH1,CH2,CH3,CH4
724,725,723,725
722,722,722,723
721,722,719,719
722,724,718,721
724,725,721,722
726,728,725,727
730,728,727,729
731,733,734,736
732,734,737,740
735,734,737,738
734,736,736,737
733,733,732,736
730,730,730,734
730,730,726,734
729,728,723,732
726,725,721,727
725,725,722,726
724,723,723,725
723,723,719,722
722,722,720,722
723,724,723,723
726,726,724,727
727,727,729,728
730,732,731,732
732,733,733,738
733,735,736,740
735,734,738,741
733,733,736,737
731,733,734,735
731,731,733,734
728,730,731,731
728,728,728,731
726,726,726,725
724,725,724,724
723,723,722,724
722,724,719,720
723,722,717,720
724,725,721,725
726,728,723,727
727,728,726,729
733,733,732,734
733,734,733,739
734,735,736,740
736,735,735,739
733,733,733,735
731,732,733,735
731,730,732,736
728,729,730,731
728,727,726,729
725,726,726,729
724,724,725,727
723,723,721,722
720,723,719,721
721,724,720,722
724,725,721,724
725,729,724,727
726,729,727,730
731,733,734,736
733,734,737,738
734,736,738,740
734,736,736,738
733,733,734,736
731,731,732,735
730,730,731,734
729,728,729,732
725,726,725,727
724,725,724,726
724,724,722,724
723,723,720,722
723,723,718,721
723,723,721,723
725,726,724,726
727,728,727,728
731,732,731,733
733,733,735,737
733,734,736,739
736,735,737,741
733,733,735,738
732,732,734,735
731,730,733,735
729,730,732,732
727,729,729,731
726,726,726,728
725,724,725,726
723,723,722,724
722,722,719,720
721,724,717,721
724,725,721,724
726,727,724,726
728,729,725,729
733,734,731,734
732,734,734,737
734,735,735,740
734,737,735,740
734,734,734,738
731,731,733,736
730,730,731,734
729,729,730,732
727,726,727,727
725,725,725,727
725,724,723,725
723,723,719,724
723,722,718,720
723,723,719,719
724,724,722,723
726,727,725,725
728,730,727,730
732,733,732,735
733,736,736,738
735,735,738,740
733,734,738,741
732,733,734,736
730,731,730,733
728,729,730,732
728,729,729,731
725,726,727,727
723,724,726,725
723,724,725,724
721,724,722,721
722,724,719,720
724,724,720,723
725,726,722,726
727,728,724,728
730,732,730,734
732,734,733,736
732,735,736,740
735,737,736,741
735,734,734,739
733,732,735,737
731,731,732,733
729,728,731,733
727,729,729,731
725,726,728,729
724,724,725,726
724,722,722,724
723,722,720,720
722,723,719,721
724,725,720,724
725,727,725,725
727,729,726,729
731,734,733,735
732,733,736,736
